"display_id","pseudo_sql","sql"
D0001,"{""triggers"": ""QUERY COUNT(*)\nFROM DATA\nWHERE #{amount} >= {10000}""}","{""triggers"": ""SELECT COUNT(*) \nFROM cust_trans_info a\n    JOIN transactions t \n    ON t.id = a.trans_id \nWHERE (COALESCE(t.env, 0) = %(env_var)d AND COALESCE(a.env, 0) = %(env_var)d) AND t.id = %(trans_id)s AND\na.tenant_id = %(tenant_id)s AND\nt.tenant_id = %(tenant_id)s AND\na.acct_id = %(acct_id)s AND\na.trans_date = %(trans_date)s AND (\n    t.amount >= '10000'\n);""}"
D0002,"{""result"": ""Q2_count > 0 AND Q1_count >= 3 AND (Q1_count/Q2_count)*100 >= 150 AND (Q1_sum/Q2_sum)*100 >= 150"", ""queries"": [{""pseudo_query"": ""QUERY COUNT({amount}), SUM({amount})\nFROM DATA\nPAST 7 day FROM transaction date\nWHERE #{amount} >= {5000}"", ""variable_name"": ""Q1_count, Q1_sum""}, {""pseudo_query"": ""QUERY COUNT({amount}), SUM({amount})\nFROM DATA\nPAST 30 day FROM 7 day before transaction date\nWHERE #{amount} >= {5000}"", ""variable_name"": ""Q2_count, Q2_sum""}], ""triggers"": ""#{amount} >= {5000}""}","{""result"": ""Q2_count > 0 and Q1_count >= 3 and (Q1_count/Q2_count)*100 >= 150 and (Q1_sum/Q2_sum)*100 >= 150"", ""queries"": [{""variable_name"": ""Q1_count, Q1_sum"", ""sql_placeholder"": ""SELECT COUNT(t.amount) as Count, SUM(t.amount) as Sum \nFROM \n    cust_trans_info a\n    JOIN transactions t ON a.trans_id = t.id \nWHERE \n    (COALESCE(t.env, 0) = %(env_var)d AND COALESCE(a.env, 0) = %(env_var)d) AND\n    a.tenant_id = %(tenant_id)s AND\n    t.tenant_id = %(tenant_id)s AND\n    a.acct_id = %(acct_id)s AND (\n    t.amount >= '5000' AND\n    a.trans_date >= date_sub(day, 7, toDateTime(%(trans_date)s)) AND\n            a.trans_date <= toDateTime(%(trans_date)s) AND \n            t.trans_date >= date_sub(day, 7, toDateTime(%(trans_date)s)) AND \n            t.trans_date <= toDateTime(%(trans_date)s)\n);"", ""template_number"": 1}, {""variable_name"": ""Q2_count, Q2_sum"", ""sql_placeholder"": ""SELECT COUNT(t.amount) as Count, SUM(t.amount) as Sum \nFROM \n    cust_trans_info a\n    JOIN transactions t ON a.trans_id = t.id \nWHERE \n    (COALESCE(t.env, 0) = %(env_var)d AND COALESCE(a.env, 0) = %(env_var)d) AND\n    a.tenant_id = %(tenant_id)s AND\n    t.tenant_id = %(tenant_id)s AND\n    a.acct_id = %(acct_id)s AND (\n    t.amount >= '5000' AND\n    a.trans_date >= date_sub(day, 30, date_sub(day ,7 ,toDateTime(%(trans_date)s))) AND\n            a.trans_date <= date_sub(day, 7, toDateTime(%(trans_date)s)) AND\n            t.trans_date >= date_sub(day, 30, date_sub(day ,7 ,toDateTime(%(trans_date)s))) AND\n            t.trans_date <= date_sub(day, 7, toDateTime(%(trans_date)s))\n);"", ""template_number"": 1}], ""triggers"": ""SELECT COUNT(*) \nFROM cust_trans_info a\n    JOIN transactions t \n    ON t.id = a.trans_id \nWHERE (COALESCE(t.env, 0) = %(env_var)d AND COALESCE(a.env, 0) = %(env_var)d) AND t.id = %(trans_id)s AND\na.tenant_id = %(tenant_id)s AND\nt.tenant_id = %(tenant_id)s AND\na.acct_id = %(acct_id)s AND\na.trans_date = %(trans_date)s AND (\n    t.amount >= '5000'\n);""}"
D0003,"{""result"": ""Q1_count >= 5 AND Q1_sum < 5000"", ""queries"": [{""pseudo_query"": ""QUERY COUNT({amount}), SUM({amount})\nFROM DATA\nPAST 30 day FROM transaction date\nWHERE #{account} is {dest} AND #{s.acct_id} not in {d.related_parties} AND #{trans_type} = {Transfer}"", ""variable_name"": ""Q1_count, Q1_sum""}], ""triggers"": ""#{account} is {dest} AND #{s.acct_id} not in {d.related_parties} AND #{trans_type} = {Transfer}""}","{""result"": ""Q1_count >= 5 and Q1_sum < 5000"", ""queries"": [{""variable_name"": ""Q1_count, Q1_sum"", ""sql_placeholder"": ""SELECT COUNT(t.amount) as Count, SUM(t.amount) as Sum \n    FROM cust_trans_info d\n        JOIN transactions t\n        ON d.trans_id = t.id\n        AND d.trans_acct_type = 'Destination'\n        JOIN cust_trans_info s\n        ON s.trans_id = t.id\n        AND s.trans_acct_type = 'Source'\n    WHERE \n    COALESCE(t.env, 0) = %(env_var)d AND\n    t.tenant_id = %(tenant_id)s AND (\n    d.tenant_id = %(tenant_id)s AND d.acct_id = %(acct_id)s AND COALESCE(d.env, 0) = %(env_var)d AND COALESCE(s.env, 0) = %(env_var)d AND NOT has(d.related_parties, s.acct_id) AND t.trans_type = 'Transfer' AND\n    d.trans_date >= date_sub(day, 30, toDateTime(%(trans_date)s)) AND\n        d.trans_date <= toDateTime(%(trans_date)s) AND \n        s.trans_date >= date_sub(day, 30, toDateTime(%(trans_date)s)) AND \n        s.trans_date <= toDateTime(%(trans_date)s) AND\n        t.trans_date >= date_sub(day, 30, toDateTime(%(trans_date)s)) AND \n        t.trans_date <= toDateTime(%(trans_date)s)\n);"", ""template_number"": 2}], ""triggers"": ""SELECT COUNT(*) \nFROM cust_trans_info d\n    JOIN transactions t\n    ON d.trans_id = t.id\n    AND d.trans_acct_type = 'Destination'\n    JOIN cust_trans_info s\n    ON s.trans_id = t.id\n    AND s.trans_acct_type = 'Source'\n    WHERE (COALESCE(t.env, 0) = %(env_var)d AND COALESCE(d.env, 0) = %(env_var)d AND COALESCE(s.env, 0) = %(env_var)d) AND t.id = %(trans_id)s AND\nt.tenant_id = %(tenant_id)s AND\nt.trans_date = %(trans_date)s AND (\n    d.tenant_id = %(tenant_id)s AND d.acct_id = %(acct_id)s AND d.trans_date = %(trans_date)s AND NOT has(d.related_parties, s.acct_id) AND t.trans_type = 'Transfer'\n);""}"
D0004,"{""result"": ""Q1_count >= 3 AND Q1_sum >= 10000"", ""queries"": [{""pseudo_query"": ""QUERY COUNT({amount}), SUM({amount})\nFROM DATA\nPAST 7 day FROM transaction date\nWHERE #{account} is {dest} AND #{trans_type} = {ATMDeposit, Payment, Deposit, Transfer, AssetSale}"", ""variable_name"": ""Q1_count, Q1_sum""}], ""triggers"": ""#{account} is {dest} AND #{trans_type} = {ATMDeposit, Payment, Deposit, Transfer, AssetSale}""}","{""result"": ""Q1_count >= 3 and Q1_sum >= 10000"", ""queries"": [{""variable_name"": ""Q1_count, Q1_sum"", ""sql_placeholder"": ""SELECT COUNT(t.amount) as Count, SUM(t.amount) as Sum \nFROM \n    cust_trans_info a\n    JOIN transactions t ON a.trans_id = t.id \nWHERE \n    (COALESCE(t.env, 0) = %(env_var)d AND COALESCE(a.env, 0) = %(env_var)d) AND\n    a.tenant_id = %(tenant_id)s AND\n    t.tenant_id = %(tenant_id)s AND\n    a.acct_id = %(acct_id)s AND (\n    a.trans_acct_type = 'Destination' AND t.trans_type in ('ATMDeposit', 'Payment', 'Deposit', 'Transfer', 'AssetSale') AND\n    a.trans_date >= date_sub(day, 7, toDateTime(%(trans_date)s)) AND\n            a.trans_date <= toDateTime(%(trans_date)s) AND \n            t.trans_date >= date_sub(day, 7, toDateTime(%(trans_date)s)) AND \n            t.trans_date <= toDateTime(%(trans_date)s)\n);"", ""template_number"": 1}], ""triggers"": ""SELECT COUNT(*) \nFROM cust_trans_info a\n    JOIN transactions t \n    ON t.id = a.trans_id \nWHERE (COALESCE(t.env, 0) = %(env_var)d AND COALESCE(a.env, 0) = %(env_var)d) AND t.id = %(trans_id)s AND\na.tenant_id = %(tenant_id)s AND\nt.tenant_id = %(tenant_id)s AND\na.acct_id = %(acct_id)s AND\na.trans_date = %(trans_date)s AND (\n    a.trans_acct_type = 'Destination' AND t.trans_type in ('ATMDeposit', 'Payment', 'Deposit', 'Transfer', 'AssetSale')\n);""}"
D0005,"{""result"": ""Q1_count >= 5 AND Q1_sum >= 20000 AND ( Q2_sum / Q1_sum ) * 100 >= 80"", ""queries"": [{""pseudo_query"": ""QUERY COUNT({amount}), SUM({amount})\nFROM DATA\nPAST 30 day FROM transaction date\nWHERE #{account} is {dest} AND #{trans_type} = {ATMDeposit, Payment, Deposit, Transfer, AssetSale}"", ""variable_name"": ""Q1_count, Q1_sum""}, {""pseudo_query"": ""QUERY SUM({amount})\nFROM DATA\nPAST 30 day FROM transaction date\nWHERE #{account} is {source} AND #{trans_type} = {Transfer}"", ""variable_name"": ""Q2_sum""}], ""triggers"": ""#{account} is {source} AND #{trans_type} = {Transfer}""}","{""result"": ""Q1_count >= 5 and Q1_sum >= 20000 and ( Q2_sum / Q1_sum ) * 100 >= 80"", ""queries"": [{""variable_name"": ""Q1_count, Q1_sum"", ""sql_placeholder"": ""SELECT COUNT(t.amount) as Count, SUM(t.amount) as Sum \nFROM \n    cust_trans_info a\n    JOIN transactions t ON a.trans_id = t.id \nWHERE \n    (COALESCE(t.env, 0) = %(env_var)d AND COALESCE(a.env, 0) = %(env_var)d) AND\n    a.tenant_id = %(tenant_id)s AND\n    t.tenant_id = %(tenant_id)s AND\n    a.acct_id = %(acct_id)s AND (\n    a.trans_acct_type = 'Destination' AND t.trans_type in ('ATMDeposit', 'Payment', 'Deposit', 'Transfer', 'AssetSale') AND\n    a.trans_date >= date_sub(day, 30, toDateTime(%(trans_date)s)) AND\n            a.trans_date <= toDateTime(%(trans_date)s) AND \n            t.trans_date >= date_sub(day, 30, toDateTime(%(trans_date)s)) AND \n            t.trans_date <= toDateTime(%(trans_date)s)\n);"", ""template_number"": 1}, {""variable_name"": ""Q2_sum"", ""sql_placeholder"": ""SELECT SUM(t.amount) as Sum \nFROM \n    cust_trans_info a\n    JOIN transactions t ON a.trans_id = t.id \nWHERE \n    (COALESCE(t.env, 0) = %(env_var)d AND COALESCE(a.env, 0) = %(env_var)d) AND\n    a.tenant_id = %(tenant_id)s AND\n    t.tenant_id = %(tenant_id)s AND\n    a.acct_id = %(acct_id)s AND (\n    a.trans_acct_type = 'Source' AND t.trans_type = 'Transfer' AND\n    a.trans_date >= date_sub(day, 30, toDateTime(%(trans_date)s)) AND\n            a.trans_date <= toDateTime(%(trans_date)s) AND \n            t.trans_date >= date_sub(day, 30, toDateTime(%(trans_date)s)) AND \n            t.trans_date <= toDateTime(%(trans_date)s)\n);"", ""template_number"": 1}], ""triggers"": ""SELECT COUNT(*) \nFROM cust_trans_info a\n    JOIN transactions t \n    ON t.id = a.trans_id \nWHERE (COALESCE(t.env, 0) = %(env_var)d AND COALESCE(a.env, 0) = %(env_var)d) AND t.id = %(trans_id)s AND\na.tenant_id = %(tenant_id)s AND\nt.tenant_id = %(tenant_id)s AND\na.acct_id = %(acct_id)s AND\na.trans_date = %(trans_date)s AND (\n    a.trans_acct_type = 'Source' AND t.trans_type = 'Transfer'\n);""}"
D0006,"{""result"": ""Q1_count >= 5"", ""queries"": [{""pseudo_query"": ""QUERY COUNT({amount})\nFROM DATA\nPAST 30 day FROM transaction date\nWHERE #{account} is {dest} AND #{s.acct_id} not in {d.related_parties} AND #{trans_type} = {Transfer} AND #{amount} >= {5000}"", ""variable_name"": ""Q1_count""}], ""triggers"": ""#{account} is {dest} AND #{trans_type} = {Transfer} AND #{s.acct_id} not in {d.related_parties} AND #{amount} >= {5000}""}","{""result"": ""Q1_count >= 5"", ""queries"": [{""variable_name"": ""Q1_count"", ""sql_placeholder"": ""SELECT COUNT(t.amount) as Count \n    FROM cust_trans_info d\n        JOIN transactions t\n        ON d.trans_id = t.id\n        AND d.trans_acct_type = 'Destination'\n        JOIN cust_trans_info s\n        ON s.trans_id = t.id\n        AND s.trans_acct_type = 'Source'\n    WHERE \n    COALESCE(t.env, 0) = %(env_var)d AND\n    t.tenant_id = %(tenant_id)s AND (\n    d.tenant_id = %(tenant_id)s AND d.acct_id = %(acct_id)s AND COALESCE(d.env, 0) = %(env_var)d AND COALESCE(s.env, 0) = %(env_var)d AND NOT has(d.related_parties, s.acct_id) AND t.trans_type = 'Transfer' AND t.amount >= '5000' AND\n    d.trans_date >= date_sub(day, 30, toDateTime(%(trans_date)s)) AND\n        d.trans_date <= toDateTime(%(trans_date)s) AND \n        s.trans_date >= date_sub(day, 30, toDateTime(%(trans_date)s)) AND \n        s.trans_date <= toDateTime(%(trans_date)s) AND\n        t.trans_date >= date_sub(day, 30, toDateTime(%(trans_date)s)) AND \n        t.trans_date <= toDateTime(%(trans_date)s)\n);"", ""template_number"": 2}], ""triggers"": ""SELECT COUNT(*) \nFROM cust_trans_info d\n    JOIN transactions t\n    ON d.trans_id = t.id\n    AND d.trans_acct_type = 'Destination'\n    JOIN cust_trans_info s\n    ON s.trans_id = t.id\n    AND s.trans_acct_type = 'Source'\n    WHERE (COALESCE(t.env, 0) = %(env_var)d AND COALESCE(d.env, 0) = %(env_var)d AND COALESCE(s.env, 0) = %(env_var)d) AND t.id = %(trans_id)s AND\nt.tenant_id = %(tenant_id)s AND\nt.trans_date = %(trans_date)s AND (\n    d.tenant_id = %(tenant_id)s AND d.acct_id = %(acct_id)s AND d.trans_date = %(trans_date)s AND t.trans_type = 'Transfer' AND NOT has(d.related_parties, s.acct_id) AND t.amount >= '5000'\n);""}"
D0007,"{""result"": ""Q1_count >= 5"", ""queries"": [{""pseudo_query"": ""QUERY COUNT({amount})\nFROM DATA\nPAST 30 day FROM transaction date\nWHERE #{account} is {source} AND #{d.acct_id} not in {s.related_parties} AND #{trans_type} = {Transfer} AND #{amount} >= {5000}"", ""variable_name"": ""Q1_count""}], ""triggers"": ""#{account} is {source} AND #{trans_type} = {Transfer} AND #{d.acct_id} not in {s.related_parties} AND #{amount} >= {5000}""}","{""result"": ""Q1_count >= 5"", ""queries"": [{""variable_name"": ""Q1_count"", ""sql_placeholder"": ""SELECT COUNT(t.amount) as Count \n    FROM cust_trans_info d\n        JOIN transactions t\n        ON d.trans_id = t.id\n        AND d.trans_acct_type = 'Destination'\n        JOIN cust_trans_info s\n        ON s.trans_id = t.id\n        AND s.trans_acct_type = 'Source'\n    WHERE \n    COALESCE(t.env, 0) = %(env_var)d AND\n    t.tenant_id = %(tenant_id)s AND (\n    s.tenant_id = %(tenant_id)s AND s.acct_id = %(acct_id)s AND COALESCE(s.env, 0) = %(env_var)d AND COALESCE(d.env, 0) = %(env_var)d AND NOT has(s.related_parties, d.acct_id) AND t.trans_type = 'Transfer' AND t.amount >= '5000' AND\n    d.trans_date >= date_sub(day, 30, toDateTime(%(trans_date)s)) AND\n        d.trans_date <= toDateTime(%(trans_date)s) AND \n        s.trans_date >= date_sub(day, 30, toDateTime(%(trans_date)s)) AND \n        s.trans_date <= toDateTime(%(trans_date)s) AND\n        t.trans_date >= date_sub(day, 30, toDateTime(%(trans_date)s)) AND \n        t.trans_date <= toDateTime(%(trans_date)s)\n);"", ""template_number"": 2}], ""triggers"": ""SELECT COUNT(*) \nFROM cust_trans_info d\n    JOIN transactions t\n    ON d.trans_id = t.id\n    AND d.trans_acct_type = 'Destination'\n    JOIN cust_trans_info s\n    ON s.trans_id = t.id\n    AND s.trans_acct_type = 'Source'\n    WHERE (COALESCE(t.env, 0) = %(env_var)d AND COALESCE(d.env, 0) = %(env_var)d AND COALESCE(s.env, 0) = %(env_var)d) AND t.id = %(trans_id)s AND\nt.tenant_id = %(tenant_id)s AND\nt.trans_date = %(trans_date)s AND (\n    s.tenant_id = %(tenant_id)s AND s.acct_id = %(acct_id)s AND s.trans_date = %(trans_date)s AND t.trans_type = 'Transfer' AND NOT has(s.related_parties, d.acct_id) AND t.amount >= '5000'\n);""}"
D0008,"{""triggers"": ""QUERY COUNT(*)\nFROM DATA\nWHERE (#{description} in {monitored_keywords_high} OR #{description} in {monitored_keywords_prohibited} OR #{purpose} in {monitored_keywords_high} OR #{purpose} in {monitored_keywords_prohibited})""}","{""triggers"": ""SELECT COUNT(*) \nFROM cust_trans_info a\n    JOIN transactions t \n    ON t.id = a.trans_id \nWHERE (COALESCE(t.env, 0) = %(env_var)d AND COALESCE(a.env, 0) = %(env_var)d) AND t.id = %(trans_id)s AND\na.tenant_id = %(tenant_id)s AND\nt.tenant_id = %(tenant_id)s AND\na.acct_id = %(acct_id)s AND\na.trans_date = %(trans_date)s AND (\n    ( t.description  in  (SELECT c.value FROM ref_list_items c JOIN ref_list r ON c.reference_id = r.id WHERE c.tenant_id = %(tenant_id)s AND c.risk_level = 'High' AND r.name = 'monitored_keywords') OR t.description  in  (SELECT c.value FROM ref_list_items c JOIN ref_list r ON c.reference_id = r.id WHERE c.tenant_id = %(tenant_id)s AND c.risk_level = 'Prohibited' AND r.name = 'monitored_keywords') OR t.purpose  in  (SELECT c.value FROM ref_list_items c JOIN ref_list r ON c.reference_id = r.id WHERE c.tenant_id = %(tenant_id)s AND c.risk_level = 'High' AND r.name = 'monitored_keywords') OR t.purpose  in  (SELECT c.value FROM ref_list_items c JOIN ref_list r ON c.reference_id = r.id WHERE c.tenant_id = %(tenant_id)s AND c.risk_level = 'Prohibited' AND r.name = 'monitored_keywords') )\n);""}"
D0009,"{""result"": ""(Q1_count >= 3 AND Q1_sum >= 10000) OR (Q2_count >= 3 AND Q2_sum >= 10000)"", ""queries"": [{""pseudo_query"": ""QUERY COUNT({amount}), SUM({amount})\nFROM DATA\nPAST 30 day FROM transaction date\nWHERE #{account} is {dest} AND #{trans_type} = {Deposit} AND #{trans_method} = {Cheque} AND #{s.entity_type} = {Business} AND #{s.risk_level} = {High} "", ""variable_name"": ""Q1_count, Q1_sum""}, {""pseudo_query"": ""QUERY COUNT({amount}), SUM({amount})\nFROM DATA\nPAST 30 day FROM transaction date\nWHERE #{account} is {dest} AND #{trans_type} = {Transfer} AND #{s.entity_type} = {Business} AND #{s.risk_level} = {High} "", ""variable_name"": ""Q2_count, Q2_sum""}], ""triggers"": ""#{account} is {dest} AND (#{trans_type} = {Transfer} OR (#{trans_type} = {Deposit} AND #{trans_method} = {Cheque})) AND #{s.entity_type} = {Business} AND #{s.risk_level} = {High}""}","{""result"": ""(Q1_count >= 3 and Q1_sum >= 10000) or (Q2_count >= 3 and Q2_sum >= 10000)"", ""queries"": [{""variable_name"": ""Q1_count, Q1_sum"", ""sql_placeholder"": ""SELECT COUNT(t.amount) as Count, SUM(t.amount) as Sum \n    FROM cust_trans_info d\n        JOIN transactions t\n        ON d.trans_id = t.id\n        AND d.trans_acct_type = 'Destination'\n        JOIN cust_trans_info s\n        ON s.trans_id = t.id\n        AND s.trans_acct_type = 'Source'\n    WHERE \n    COALESCE(t.env, 0) = %(env_var)d AND\n    t.tenant_id = %(tenant_id)s AND (\n    d.tenant_id = %(tenant_id)s AND d.acct_id = %(acct_id)s AND COALESCE(d.env, 0) = %(env_var)d AND COALESCE(s.env, 0) = %(env_var)d AND t.trans_type = 'Deposit' AND t.trans_method = 'Cheque' AND s.entity_type = 'Business' AND s.risk_level = 'High' AND\n    d.trans_date >= date_sub(day, 30, toDateTime(%(trans_date)s)) AND\n        d.trans_date <= toDateTime(%(trans_date)s) AND \n        s.trans_date >= date_sub(day, 30, toDateTime(%(trans_date)s)) AND \n        s.trans_date <= toDateTime(%(trans_date)s) AND\n        t.trans_date >= date_sub(day, 30, toDateTime(%(trans_date)s)) AND \n        t.trans_date <= toDateTime(%(trans_date)s)\n);"", ""template_number"": 2}, {""variable_name"": ""Q2_count, Q2_sum"", ""sql_placeholder"": ""SELECT COUNT(t.amount) as Count, SUM(t.amount) as Sum \n    FROM cust_trans_info d\n        JOIN transactions t\n        ON d.trans_id = t.id\n        AND d.trans_acct_type = 'Destination'\n        JOIN cust_trans_info s\n        ON s.trans_id = t.id\n        AND s.trans_acct_type = 'Source'\n    WHERE \n    COALESCE(t.env, 0) = %(env_var)d AND\n    t.tenant_id = %(tenant_id)s AND (\n    d.tenant_id = %(tenant_id)s AND d.acct_id = %(acct_id)s AND COALESCE(d.env, 0) = %(env_var)d AND COALESCE(s.env, 0) = %(env_var)d AND t.trans_type = 'Transfer' AND s.entity_type = 'Business' AND s.risk_level = 'High' AND\n    d.trans_date >= date_sub(day, 30, toDateTime(%(trans_date)s)) AND\n        d.trans_date <= toDateTime(%(trans_date)s) AND \n        s.trans_date >= date_sub(day, 30, toDateTime(%(trans_date)s)) AND \n        s.trans_date <= toDateTime(%(trans_date)s) AND\n        t.trans_date >= date_sub(day, 30, toDateTime(%(trans_date)s)) AND \n        t.trans_date <= toDateTime(%(trans_date)s)\n);"", ""template_number"": 2}], ""triggers"": ""SELECT COUNT(*) \nFROM cust_trans_info d\n    JOIN transactions t\n    ON d.trans_id = t.id\n    AND d.trans_acct_type = 'Destination'\n    JOIN cust_trans_info s\n    ON s.trans_id = t.id\n    AND s.trans_acct_type = 'Source'\n    WHERE (COALESCE(t.env, 0) = %(env_var)d AND COALESCE(d.env, 0) = %(env_var)d AND COALESCE(s.env, 0) = %(env_var)d) AND t.id = %(trans_id)s AND\nt.tenant_id = %(tenant_id)s AND\nt.trans_date = %(trans_date)s AND (\n    d.tenant_id = %(tenant_id)s AND d.acct_id = %(acct_id)s AND d.trans_date = %(trans_date)s AND ( t.trans_type = 'Transfer' OR ( t.trans_type = 'Deposit' AND t.trans_method = 'Cheque' ) ) AND s.entity_type = 'Business' AND s.risk_level = 'High'\n);""}"
D0010,"{""result"": ""Q1_count >= 3 AND Q1_sum >= 10000"", ""queries"": [{""pseudo_query"": ""QUERY COUNT({amount}), SUM({amount})\nFROM DATA\nPAST 30 day FROM transaction date\nWHERE #{account} is {dest} AND #{s.acct_id} not in {d.related_parties} AND #{trans_type} = {Deposit} AND #{trans_method} = {Cheque}"", ""variable_name"": ""Q1_count, Q1_sum""}], ""triggers"": ""#{account} is {dest} AND #{trans_type} = {Deposit} AND #{trans_method} = {Cheque} AND #{s.acct_id} not in {d.related_parties}""}","{""result"": ""Q1_count >= 3 and Q1_sum >= 10000"", ""queries"": [{""variable_name"": ""Q1_count, Q1_sum"", ""sql_placeholder"": ""SELECT COUNT(t.amount) as Count, SUM(t.amount) as Sum \n    FROM cust_trans_info d\n        JOIN transactions t\n        ON d.trans_id = t.id\n        AND d.trans_acct_type = 'Destination'\n        JOIN cust_trans_info s\n        ON s.trans_id = t.id\n        AND s.trans_acct_type = 'Source'\n    WHERE \n    COALESCE(t.env, 0) = %(env_var)d AND\n    t.tenant_id = %(tenant_id)s AND (\n    d.tenant_id = %(tenant_id)s AND d.acct_id = %(acct_id)s AND COALESCE(d.env, 0) = %(env_var)d AND COALESCE(s.env, 0) = %(env_var)d AND NOT has(d.related_parties, s.acct_id) AND t.trans_type = 'Deposit' AND t.trans_method = 'Cheque' AND\n    d.trans_date >= date_sub(day, 30, toDateTime(%(trans_date)s)) AND\n        d.trans_date <= toDateTime(%(trans_date)s) AND \n        s.trans_date >= date_sub(day, 30, toDateTime(%(trans_date)s)) AND \n        s.trans_date <= toDateTime(%(trans_date)s) AND\n        t.trans_date >= date_sub(day, 30, toDateTime(%(trans_date)s)) AND \n        t.trans_date <= toDateTime(%(trans_date)s)\n);"", ""template_number"": 2}], ""triggers"": ""SELECT COUNT(*) \nFROM cust_trans_info d\n    JOIN transactions t\n    ON d.trans_id = t.id\n    AND d.trans_acct_type = 'Destination'\n    JOIN cust_trans_info s\n    ON s.trans_id = t.id\n    AND s.trans_acct_type = 'Source'\n    WHERE (COALESCE(t.env, 0) = %(env_var)d AND COALESCE(d.env, 0) = %(env_var)d AND COALESCE(s.env, 0) = %(env_var)d) AND t.id = %(trans_id)s AND\nt.tenant_id = %(tenant_id)s AND\nt.trans_date = %(trans_date)s AND (\n    d.tenant_id = %(tenant_id)s AND d.acct_id = %(acct_id)s AND d.trans_date = %(trans_date)s AND t.trans_type = 'Deposit' AND t.trans_method = 'Cheque' AND NOT has(d.related_parties, s.acct_id)\n);""}"
